EmployeeID,FirstName,LastName,EmailAddress,JobLevel,SupervisorID,UnitID,DepartmentID
1,FirstName1,LastName1,firstname1.lastname1@company.com,1.6,,3,1
2,FirstName2,LastName2,firstname2.lastname2@company.com,5.6,48.0,7,2
3,FirstName3,LastName3,firstname3.lastname3@company.com,1.9,80.0,9,3
4,FirstName4,LastName4,firstname4.lastname4@company.com,8.6,86.0,7,4
5,FirstName5,LastName5,firstname5.lastname5@company.com,4.7,18.0,10,4
6,FirstName6,LastName6,firstname6.lastname6@company.com,7.3,58.0,7,2
7,FirstName7,LastName7,firstname7.lastname7@company.com,7.4,5.0,7,4
8,FirstName8,LastName8,firstname8.lastname8@company.com,8.4,32.0,2,3
9,FirstName9,LastName9,firstname9.lastname9@company.com,8.4,17.0,5,4
10,FirstName10,LastName10,firstname10.lastname10@company.com,5.0,33.0,6,3
11,FirstName11,LastName11,firstname11.lastname11@company.com,3.3,3.0,8,4
12,FirstName12,LastName12,firstname12.lastname12@company.com,5.9,38.0,9,2
13,FirstName13,LastName13,firstname13.lastname13@company.com,3.0,92.0,8,2
14,FirstName14,LastName14,firstname14.lastname14@company.com,7.0,62.0,1,2
15,FirstName15,LastName15,firstname15.lastname15@company.com,8.7,11.0,2,1
16,FirstName16,LastName16,firstname16.lastname16@company.com,4.4,73.0,2,4
17,FirstName17,LastName17,firstname17.lastname17@company.com,6.3,79.0,9,2
18,FirstName18,LastName18,firstname18.lastname18@company.com,2.7,73.0,3,5
19,FirstName19,LastName19,firstname19.lastname19@company.com,4.4,88.0,6,5
20,FirstName20,LastName20,firstname20.lastname20@company.com,5.1,28.0,6,1
21,FirstName21,LastName21,firstname21.lastname21@company.com,7.1,16.0,4,3
22,FirstName22,LastName22,firstname22.lastname22@company.com,1.7,91.0,9,5
23,FirstName23,LastName23,firstname23.lastname23@company.com,4.3,83.0,7,4
24,FirstName24,LastName24,firstname24.lastname24@company.com,6.6,15.0,4,5
25,FirstName25,LastName25,firstname25.lastname25@company.com,7.8,60.0,3,5
26,FirstName26,LastName26,firstname26.lastname26@company.com,1.4,100.0,1,5
27,FirstName27,LastName27,firstname27.lastname27@company.com,2.5,81.0,7,1
28,FirstName28,LastName28,firstname28.lastname28@company.com,6.4,79.0,8,3
29,FirstName29,LastName29,firstname29.lastname29@company.com,2.2,68.0,4,5
30,FirstName30,LastName30,firstname30.lastname30@company.com,1.2,36.0,2,5
31,FirstName31,LastName31,firstname31.lastname31@company.com,7.1,47.0,5,5
32,FirstName32,LastName32,firstname32.lastname32@company.com,7.7,5.0,4,3
33,FirstName33,LastName33,firstname33.lastname33@company.com,6.7,29.0,10,3
34,FirstName34,LastName34,firstname34.lastname34@company.com,6.3,58.0,7,3
35,FirstName35,LastName35,firstname35.lastname35@company.com,8.6,92.0,5,4
36,FirstName36,LastName36,firstname36.lastname36@company.com,3.0,93.0,3,4
37,FirstName37,LastName37,firstname37.lastname37@company.com,6.1,96.0,10,2
38,FirstName38,LastName38,firstname38.lastname38@company.com,4.8,27.0,1,4
39,FirstName39,LastName39,firstname39.lastname39@company.com,8.5,62.0,3,4
40,FirstName40,LastName40,firstname40.lastname40@company.com,4.2,35.0,6,5
41,FirstName41,LastName41,firstname41.lastname41@company.com,2.2,17.0,2,1
42,FirstName42,LastName42,firstname42.lastname42@company.com,7.6,15.0,5,1
43,FirstName43,LastName43,firstname43.lastname43@company.com,3.5,95.0,5,3
44,FirstName44,LastName44,firstname44.lastname44@company.com,8.1,46.0,1,3
45,FirstName45,LastName45,firstname45.lastname45@company.com,2.5,5.0,8,2
46,FirstName46,LastName46,firstname46.lastname46@company.com,1.5,100.0,3,4
47,FirstName47,LastName47,firstname47.lastname47@company.com,6.2,75.0,8,3
48,FirstName48,LastName48,firstname48.lastname48@company.com,2.3,56.0,10,4
49,FirstName49,LastName49,firstname49.lastname49@company.com,4.3,100.0,8,3
50,FirstName50,LastName50,firstname50.lastname50@company.com,2.6,98.0,10,2
51,FirstName51,LastName51,firstname51.lastname51@company.com,7.6,48.0,5,2
52,FirstName52,LastName52,firstname52.lastname52@company.com,1.4,8.0,2,3
